
Список отсутствующих кодов.

     Коды работ по выпуску РД	 | 	Наименование объекта/комплекта РД
317	00UKT.J.CYF.D-1010	 | 	Система часофикации. Кабельный журнал
318	00UKT.J.CYY.D-1000	 | 	Система эксплуатационных радиотелефонов. Кабельный журнал
319	00UKT.J.CYY.D-1010	 | 	Система эксплуатационных радиотелефонов
320	00UKU.E.C00.D-1360	 | 	Сварочная и розеточная сеть
321	00UKU.E.C00.D-1370	 | 	Сети освещения с отметки 0.000 до отметки +7.800
322	00UKU.E.C00.D-1380	 | 	Сети освещения с отметки +11.400 до отметки +15.000
323	00UKU.E.C00.D-1390	 | 	Размещение электрооборудования с отметки 0.000 до отметки +7.800
324	00UKU.E.C00.D-1400	 | 	Размещение электрооборудования с отметки +11.400 до отметки +15.000
325	00UKU.E.C00.D-1410	 | 	Заземление
326	00UKU.E.C00.D-1420	 | 	Журналы силовых кабелей
327	00UKU.J.C00.D-1050	 | 	РД по связи и сигнализации
328	00UKU.J.C00.D-1080	 | 	Схемы автоматизации
329	00UKU.J.C00.D-1110	 | 	Рабочая документация СКУ ЭЧ ОС СН. Схемы вторичных соединений
330	00UKU.J.C00.D-1130	 | 	РД в части КИП
331	00UKU.J.C00.D-1140	 | 	Журналы контрольных кабелей КИП
332	00UKU.J.C00.D-1150	 | 	Схемы трубных проводок РК
333	00UKU.J.C00.D-1160	 | 	Рабочая документация СКУ ЭЧ ОС СН. Внешние присоединения кабелей
334	00UKU.J.C00.D-1170	 | 	Задание заводу на шкафы КИП
335	00UKU.J.C00.D-1180	 | 	Задание заводу на сборки 0,4 кВ в части автоматики
336	00UKU.J.C00.D-1190	 | 	Схемы заполнения сборок 0,4 кВ в части автоматики
337	00UKU.J.C00.D-1200	 | 	Задание заводу на шкафы управления огнезадерживающими клапанами. 1 этап
338	00UKU.J.C00.D-1210	 | 	Задание заводу на программное обеспечение технических средств. 2 этап
339	00UKU.J.C00.D-1220	 | 	Внешние подключения к шкафам управления огнезадерживающими клапанами
340	00UKU.J.C00.D-1230	 | 	Внешние подключения к сборкам 0,4 кВ в части автоматики (ЭПА, СКУ ПЗ, СКУ ЭЧ ОС СН, СКУ МПУ ОС)
341	00UKU.J.C00.D-1240	 | 	Внешние подключения к шкафам автоматики
342	00UKU.J.C00.D-1250	 | 	Задание заводу на шкафы автоматики. 1 этап
343	00UKU.J.C00.D-1260	 | 	Задание заводу на программное обеспечение технических средств. 2 этап (Автоматика)
344	00UKU.J.C00.D-1270	 | 	Журналы контрольных кабелей в части автоматики. Спецификация. Смета
345	00UKU.J.C00.D-1280	 | 	Вторичная коммутация с.н. в части электродвигателей
346	00UKU.J.C00.D-1290	 | 	Техническое задание заводу на изготовление нетиповых шкафов управления и блокировок
347	00UKU.J.C00.D-1300	 | 	Вторичная коммутация с.н. в части питающих элементов с.н
348	00UKU.J.C00.D-1310	 | 	Внешние присоединения кабелей в части электродвигателей
349	00UKU.J.C00.D-1320	 | 	Внешние присоединения кабелей в части питающих элементов с.н
350	00UKU.J.C00.D-1330	 | 	Журналы контрольных кабелей в части электродвигателей
351	00UKU.J.C00.D-1340	 | 	Схемы электрических соединений секций 0,4 кВ
352	00UKU.J.C00.D-1350	 | 	Схемы электрических соединений вторичных сборок 0.4 кВ
353	00UKU.J.C00.D-1440	 | 	Техническое задание заводу на щиты 0.4 кВ
354	00UKU.J.C00.D-1450	 | 	Техническое задание заводу на сборки 0,4 кВ
355	00UKU.J.C00.D-1470	 | 	Задание заводу на местный щит управления ГВС
356	00UKU.J.C00.D-1480	 | 	Внешние подключения к местному щиту управления ГВС
357	00UKU.J.CYA.D-1510	 | 	РД по связи и сигнализации. Кабельные журналы
358	00UKU.J.CYA.D-1550	 | 	Кабельные журналы по радиационному контролю
359	00UKU.J.CYA.D-1560	 | 	Задание заводу на МЩУ РК
360	00UKU.J.CYB.D-1490	 | 	Система оперативной громкоговорящей и телефонной связи
361	00UKU.J.CYB.D-1500	 | 	Система оперативной громкоговорящей и телефонной связи. Кабельные журналы
362	00UKU.J.CYC.D-1470	 | 	Система оповещения и поиска персонала
363	00UKU.J.CYC.D-1480	 | 	Система оповещения и поиска персонала. Кабельные журналы
364	00UKU.J.CYE.D-1060	 | 	Система контроля и управления противопожарной защитой (СКУ ПЗ)
365	00UKU.J.CYE.D-1070	 | 	СКУ ПЗ. Оповещение людей о пожаре. Журнал контрольных кабелей
366	00UKU.J.CYE.D-1520	 | 	Система контроля и управления противопожарной защитой (СКУ ПЗ). Журнал контрольных кабелей
367	00UKU.J.CYE.D-1530	 | 	Система контроля и управления противопожарной защитой (СКУ ПЗ). Оповещение людей о пожаре
368	00UKU.J.CYE.D-1540	 | 	СКУ ПЗ Техническое задание на производство и программное обеспечение ППКП
369	00UKU.R.CFU.D-1000	 | 	Кабельные соединения РК. Схемы внешних соединений РК
370	00UKU.R.CFU.D-1010	 | 	Кабельные соединения РК. Схемы электрических соединений РК
371	00UKU.R.CFU.D-1020	 | 	Компоновка оборудования РК
372	00UKU.R.CFU.D-1030	 | 	Перечень измерительных контуров
373	00UKU.R.CFU.D-1040	 | 	Задание заводу на панели РК
374	00UKX.J.CY0.D-1010	 | 	Система связи
375	00UKX.J.CYE.D-1000	 | 	Сеть пожарной сигнализации и оповещения
376	00UKX.T.GKC.D-1030	 | 	Внутренние системы водоснабжения и канализации
377	00UNA.J.C00.D.1000	 | 	Задание заводу изготовителю на шкафы автоматизации СКУ МПУ ПРК 1 этап (на технические средства)
378	00UNA.J.C00.D-1010	 | 	Рабочие чертежи СКУ ЭЧ ОС
379	00UNA.J.C00.D-1020	 | 	Технологическое задание на автоматизацию и электропитание тепломеханических систем в здании 00UNA
380	00UNA.J.C00.D-1030	 | 	Технологическое задание на автоматизацию и электропитание тепломеханических систем в здании 00UNA (Вентиляция)
381	00UNA.J.C00.D-1040	 | 	Рабочие чертежи СКУ МПУ ПРК
382	00UNA.J.CXJ.D.1000	 | 	СКУ. Задание заводу изготовителю на шкафы автоматизации 00CXJ11. Этап 2
383	00UNA.J.CXJ.D.1010	 | 	СКУ. Задание заводу изготовителю на шкафы автоматизации 00CXJ21, 00CXJ22. Этап 2
384	00UNA.J.CXV.D.1000	 | 	СКУ. Заводу изготовителю (далее ЗЗИ) на шкафы автоматизации 00CXV19. (Этап 2)
385	00UNA.J.CY0.D-1000	 | 	Задание заводу-изготовителю на шкафы автоматизации
386	00UNA.J.CYE.D.1000	 | 	СКУ ПЗ. Рабочие чертежи. ЗЗИ
387	00UNA.J.CYE.D.1010	 | 	СКУ ПЗ. Сеть пожарной сигнализации. ЗЗИ
388	00UNA.J.CYE.D.1020	 | 	СКУ ПЗ. Рабочие чертежи. ЗЗИ
389	00UNA.J.CYE.D-1010	 | 	СКУ ПЗ. Рабочие чертежи
390	00UNA.J.CYE.D-1020	 | 	СКУ ПЗ. Сеть пожарной сигнализации
391	00UNA.J.CYE.D-1030	 | 	СКУ ПЗ. Сеть оповещения и управление эвакуацией людей при пожаре
392	00USE.J.C00.D-1000	 | 	КИП
393	00USF.E.B00.D-1040	 | 	Схемы электрические соединений 0,4 кВ
394	00USF.J.C00.D-1000	 | 	Структурная схема системы оповещения
395	00USF.J.C00.D-1010	 | 	Система эксплуатационных радиотелефонов
396	00USF.J.C00.D-1020	 | 	Система часофикации
397	00USF.J.C00.D-1030	 | 	Система технологического наблюдения (промышленное телевидение)
398	00USF.J.C00.D-1040	 | 	Система проводного радиотрансляционного вещания
399	00USF.J.C00.D-1050	 | 	Система оповещения и поиска персонала
